layer,tensor,mode,num_params,min,max,absmax,mean,std,scale,resolution,max_quant_error
gru,weight_ih,float,14430,-5.279808044433594,6.669927597045898,6.669927597045898,0.0074402280151844025,1.0141562223434448,1.0,,
gru,weight_hh,float,300,-10.685586929321289,25.171770095825195,25.171770095825195,0.10923752188682556,3.6043126583099365,1.0,,
gru,bias,float,60,-11.106915473937988,10.607718467712402,11.106915473937988,-0.2570732831954956,3.227600336074829,1.0,,
lin,bias,float,1,0.2768285572528839,0.2768285572528839,0.2768285572528839,0.2768285572528839,0.0,1.0,,
lin,weight,float,10,-9.18427562713623,1.4263215065002441,9.18427562713623,-0.9939626455307007,2.980276346206665,1.0,,
gru,weight_ih,int16,14430,-5.279808044433594,6.669927597045898,6.669927597045898,0.0074402280151844025,1.0141562223434448,4912.64703000861,0.00020355624857466042,0.00010177812428733021
gru,weight_hh,int16,300,-10.685586929321289,25.171770095825195,25.171770095825195,0.10923752188682556,3.6043126583099365,1301.7360271153316,0.000768204904197064,0.000384102452098532
gru,bias,int16,60,-11.106915473937988,10.607718467712402,11.106915473937988,-0.2570732831954956,3.227600336074829,2950.1439960434277,0.00033896650514047633,0.00016948325257023816
lin,bias,int16,1,0.2768285572528839,0.2768285572528839,0.2768285572528839,0.2768285572528839,0.0,118365.67847321916,8.448394947748769e-06,4.224197473874384e-06
lin,weight,int16,10,-9.18427562713623,1.4263215065002441,9.18427562713623,-0.9939626455307007,2.980276346206665,3567.7282923854445,0.0002802904027569271,0.00014014520137846354
gru,weight_ih,int8,14430,-5.279808044433594,6.669927597045898,6.669927597045898,0.0074402280151844025,1.0141562223434448,19.0406864470685,0.05251911493736928,0.02625955746868464
gru,weight_hh,int8,300,-10.685586929321289,25.171770095825195,25.171770095825195,0.10923752188682556,3.6043126583099365,5.045334496403306,0.19820291414035587,0.09910145707017794
gru,bias,int8,60,-11.106915473937988,10.607718467712402,11.106915473937988,-0.2570732831954956,3.227600336074829,11.434317682348562,0.08745602735384243,0.04372801367692122
lin,bias,int8,1,0.2768285572528839,0.2768285572528839,0.2768285572528839,0.2768285572528839,0.0,458.76769817495756,0.0021797524193140467,0.0010898762096570233
lin,weight,int8,10,-9.18427562713623,1.4263215065002441,9.18427562713623,-0.9939626455307007,2.980276346206665,13.827982211766455,0.07231713092233252,0.03615856546116626
